bostoncollege,Boston College
gloucestershire,Gloucestershire
greenwich,Greenwich
kingscollege,King's College (UK)
londoncity,London City
lsbu,LSBU
obu,OBU
plymouth,Plymouth
southampton,Southampton
eastlondon,UEL Titans
westminster,Westminster
acadia,Acadia
mountallison,Mount Allison
stfrancisxavier,St. Francis Xavier
saintmarys,St. Mary's (NS)
alberta,Alberta
calgary,Calgary
manitoba,Manitoba
regina,Regina
saskatchewan,Saskatchewan
ubc,UBC
carletonca,Carleton (ON)
guelph,Guelph
mcmaster,McMaster
uottawa,Ottawa (ON)
queens,Queen's University
toronto,Toronto
waterloo,Waterloo
westernontario,Western Ontario
wilfridlaurier,Wilfrid Laurier
windsor,Windsor
york,York (ON)
bishops,Bishop's University
concordiaca,Concordia (QC)
laval,Laval
mcgill,McGill
montreal,Montréal
sherbrooke,Sherbrooke
uqtr,UQTR
dalhousie,Dalhousie
holland,Holland
newbrunswick,UNB Fredericton
unbsaintjohn,UNB Saint John
andregrasset,André-Grasset
champlainlennoxville,Champlain Lennoxville
cndf,CNDF
edouardmonpetit,Édouard Montpetit
garneau,Garneau
levislauzon,Lévis-Lauzon
limoilou,Limoilou
montmorency,Montmorency
vanierqc,Vanier
vieuxmontreal,Vieux-Montréal
beauceappalaches,Beauce-Appalaches
cegepsherbrooke,Cégep de Sherbrooke
drummondville,Drummondville
johnabbott,John Abbott
lanaudiere,Lanaudière
lionelgroulx,Lionel-Groulx
stjeansurrichelieu,St-Jean-sur-Richelieu
troisrivieres,Trois-Rivières
valleyfield,Valleyfield
victoriaville,Victoriaville
ahuntsic,Ahuntsic
